parent_name,dept
Finance,Accounting
Finance,Financial Planning
Finance,Control
Finance,Audit
Human Resources,HR Analytics
Human Resources,Employee Relations
Human Resources,Employee Development
Human Resources,HR Strategy
Marketing,Communications
Marketing,Marketing and Information Management
Marketing,Marketing Distribution
Marketing,Product Promotion
Sales,Product Development
Sales,North
Sales,South
Sales,East
Sales,West
Sales,Sales Analytics
Legal,Product
Legal,Worker Compensation
Legal,Intellectual Property
Legal,Regulatory
Legal,General Counsel
Technology,Infrastructure
Technology,Systems
Technology,Hardware Support
Technology,Software
Technology,Phone and Online Assistance
Technology,Data Science
Strategy,Vendor Relationships
Strategy,Planning
Strategy,Administration
Strategy,Initiative Management
